Id,Style
0,Witbier
1,American Pale Ale
2,American Brown Ale
3,American Stout
4,Saison
5,American IPA
6,American Pale Ale
7,American Pale Ale
8,American Pale Ale
9,American IPA
10,American IPA
11,American IPA
12,American Stout
13,American Stout
14,American IPA
15,American IPA
16,American IPA
17,American Pale Ale
18,American IPA
19,American Stout
20,American Pale Ale
21,American IPA
22,American Light Lager
23,American Light Lager
24,American Pale Ale
25,Saison
26,American IPA
27,American Pale Ale
28,Irish Red Ale
29,Witbier
30,American IPA
31,Blonde Ale
32,Witbier
33,American IPA
34,American Amber Ale
35,Witbier
36,American Pale Ale
37,American Pale Ale
38,American Pale Ale
39,Imperial IPA
40,American Pale Ale
41,American Light Lager
42,American Light Lager
43,Blonde Ale
44,American Pale Ale
45,Witbier
46,American Stout
47,Witbier
48,American Amber Ale
49,American IPA
50,American IPA
51,American Stout
52,American Pale Ale
53,American IPA
54,American Pale Ale
55,American IPA
56,American IPA
57,American Pale Ale
58,American Pale Ale
59,Saison
60,American IPA
61,American IPA
62,American Amber Ale
63,Saison
64,American IPA
65,Irish Red Ale
66,American IPA
67,American IPA
68,American IPA
69,American IPA
70,American Pale Ale
71,American IPA
72,Irish Red Ale
73,American IPA
74,American Amber Ale
75,American IPA
76,American Pale Ale
77,Saison
78,American Pale Ale
79,American Brown Ale
80,American IPA
81,American Pale Ale
82,Imperial IPA
83,American Stout
84,American IPA
85,American Pale Ale
86,American IPA
87,Blonde Ale
88,American IPA
89,Imperial IPA
90,Witbier
91,American IPA
92,American IPA
93,American Amber Ale
94,American IPA
95,American IPA
96,American Pale Ale
97,American Pale Ale
98,Irish Red Ale
99,American IPA
100,American Amber Ale
101,Saison
102,Imperial IPA
103,American Light Lager
104,Saison
105,American IPA
106,American IPA
107,Saison
108,American IPA
109,Saison
110,American Stout
111,American IPA
112,Imperial IPA
113,American IPA
114,Saison
115,American Light Lager
116,Blonde Ale
117,Irish Red Ale
118,American Light Lager
119,American Brown Ale
120,American IPA
121,American IPA
122,Blonde Ale
123,American IPA
124,American Light Lager
125,American Brown Ale
126,Imperial IPA
127,Saison
128,American Pale Ale
129,Witbier
130,Imperial IPA
131,American IPA
132,American IPA
133,American Pale Ale
134,American IPA
135,American IPA
136,Irish Red Ale
137,American Amber Ale
138,American Stout
139,American Pale Ale
140,Witbier
141,American IPA
142,American Pale Ale
143,American IPA
144,American IPA
145,Irish Red Ale
146,American Brown Ale
147,American Pale Ale
148,American Pale Ale
149,American Pale Ale
150,American IPA
151,American Light Lager
152,Saison
153,Blonde Ale
154,Imperial IPA
155,American Amber Ale
156,American IPA
157,American Stout
158,American IPA
159,American IPA
160,American Pale Ale
161,American Pale Ale
162,American Pale Ale
163,American IPA
164,American Light Lager
165,Witbier
166,American Pale Ale
167,American Light Lager
168,American Stout
169,American IPA
170,American IPA
171,Imperial IPA
172,Saison
173,American IPA
174,American Brown Ale
175,American IPA
176,Blonde Ale
177,American Stout
178,Saison
179,American Stout
180,Saison
181,American IPA
182,American IPA
183,American Pale Ale
184,Blonde Ale
185,American Light Lager
186,American IPA
187,American IPA
188,Blonde Ale
189,American IPA
190,American Light Lager
191,American Pale Ale
192,American IPA
193,American IPA
194,American Amber Ale
195,Blonde Ale
196,American Brown Ale
197,American Stout
198,American Pale Ale
199,American IPA
200,American Pale Ale
201,American IPA
202,American IPA
203,American Amber Ale
204,American Amber Ale
205,American Pale Ale
206,Irish Red Ale
207,American Light Lager
208,Blonde Ale
209,American Amber Ale
210,American Pale Ale
211,American IPA
212,American IPA
213,Irish Red Ale
214,American IPA
215,American IPA
216,American Amber Ale
217,American Pale Ale
218,Blonde Ale
219,American Light Lager
220,American IPA
221,American IPA
222,American Pale Ale
223,American IPA
224,American IPA
225,American Amber Ale
226,American Pale Ale
227,American IPA
228,American IPA
229,American IPA
230,Blonde Ale
231,American Stout
232,Imperial IPA
233,Irish Red Ale
234,American Pale Ale
235,American Pale Ale
236,American Stout
237,Saison
238,American Pale Ale
239,American IPA
240,American Stout
241,Irish Red Ale
