,Id,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,Style,BoilGravityMod
0,0,22.71,1.071,1.021,6.51,81.14,6.43,28.39,90,78.0,1.2,Specific Gravity,All Grain,,20.0,American IPA,1.057
1,1,7.57,1.062,1.016,6.14,138.44,15.28,7.57,60,35.0,,Specific Gravity,extract,0.5,20.0,American IPA,1.062
2,2,12.0,1.051,1.012,5.17,27.57,14.54,14.0,60,65.0,,Specific Gravity,BIAB,0.35,20.0,Irish Red Ale,1.041
3,3,15.0,1.051,1.013,5.01,38.53,26.73,19.0,90,65.0,3.0,Specific Gravity,All Grain,,,American Stout,1.04
4,4,21.77,1.061,1.013,6.25,43.2,4.08,23.66,15,35.0,,Specific Gravity,extract,0.75,20.0,American IPA,1.045
5,5,20.82,1.04,1.008,4.27,30.11,16.32,26.5,60,50.0,1.5,Specific Gravity,All Grain,,26.67,American Amber Ale,1.032
6,6,18.93,1.072,1.015,7.45,29.94,5.44,20.82,60,70.0,2.0,Specific Gravity,All Grain,0.35,26.67,Saison,1.065
7,7,21.0,1.05,1.009,5.41,111.28,5.78,28.5,60,65.0,5.0,Specific Gravity,All Grain,1.0,19.0,American Pale Ale,1.037
8,8,18.93,1.048,1.008,5.31,13.87,6.08,28.39,60,65.0,,Specific Gravity,BIAB,0.5,23.89,Saison,1.032
9,9,41.64,1.075,1.017,7.61,70.45,9.29,49.21,60,70.0,1.25,Specific Gravity,All Grain,0.75,17.78,American IPA,1.064
10,10,20.82,1.058,1.01,6.29,64.35,3.86,28.39,60,80.0,2.0,Specific Gravity,All Grain,0.35,,American IPA,1.042
11,11,20.82,1.056,1.014,5.49,62.15,13.61,24.61,70,70.0,,Specific Gravity,All Grain,,,American IPA,1.051
12,12,26.0,1.074,1.016,7.58,75.77,5.94,34.0,60,70.0,3.6,Specific Gravity,All Grain,,,American IPA,1.056
13,13,10.79,1.067,1.019,6.27,42.16,13.33,15.33,90,68.0,,Specific Gravity,All Grain,0.5,18.33,American IPA,1.047
14,14,58.67,1.0590000000000002,1.011,6.32,43.17,6.48,71.92,65,62.0,1.5,Specific Gravity,All Grain,1.0,23.89,Saison,1.048
15,15,20.82,1.069,1.014,7.2,104.21,8.78,28.39,60,60.0,1.5,Specific Gravity,All Grain,1.25,19.44,American IPA,1.05
16,16,18.93,1.065,1.016,6.43,96.95,8.01,9.46,60,35.0,,Specific Gravity,extract,,,American IPA,1.131
17,17,20.82,1.0590000000000002,1.017,5.57,54.45,7.2,24.61,60,35.0,,Specific Gravity,extract,1.0,21.11,American Pale Ale,1.05
18,18,23.0,1.063,1.016,6.21,69.85,8.48,10.0,60,70.0,,Specific Gravity,extract,1.0,19.0,American IPA,1.042
19,19,9.46,1.053,1.009,5.8,24.82,13.05,14.2,60,70.0,1.5,Specific Gravity,All Grain,,,American Light Lager,1.035
20,20,22.71,1.058,1.01,6.32,31.1,7.05,28.39,65,63.0,1.33,Specific Gravity,All Grain,0.75,17.78,American Pale Ale,1.046
21,21,18.93,1.053,1.013,5.23,62.78,13.8,11.36,60,35.0,,Specific Gravity,extract,,,American IPA,1.089
22,22,14.0,1.0490000000000002,1.011,4.97,0.0,7.79,11.0,60,50.0,,Specific Gravity,Partial Mash,,,American Light Lager,1.063
23,23,20.82,1.006,1.001,0.62,0.0,16.35,28.39,60,35.0,1.5,Specific Gravity,All Grain,,,American Light Lager,1.004
24,24,40.0,1.069,1.017,6.76,60.83,8.15,53.0,60,75.0,34.0,Specific Gravity,All Grain,2.0,20.0,American IPA,1.052
25,25,11.36,1.064,1.012,6.74,58.67,34.66,13.25,60,75.0,1.5,Specific Gravity,All Grain,,20.0,American Stout,1.055
26,26,41.64,1.078,1.016,8.05,104.25,8.12,47.32,60,70.0,1.75,Specific Gravity,All Grain,2.0,20.0,Imperial IPA,1.068
27,27,20.82,1.0490000000000002,1.01,5.14,12.86,5.08,28.39,60,65.0,,Specific Gravity,BIAB,,,American Pale Ale,1.036
28,28,18.93,1.0590000000000002,1.014,5.84,36.17,26.4,28.39,60,70.0,1.25,Specific Gravity,All Grain,,20.0,American Brown Ale,1.039
29,29,20.82,1.08,1.03,6.55,31.78,34.8,32.18,90,80.0,2.0,Specific Gravity,All Grain,1.0,18.33,American Stout,1.052
30,30,3.79,1.06,1.011,6.48,90.02,17.83,6.81,60,35.0,1.5,Specific Gravity,All Grain,0.5,22.22,American IPA,1.033
31,31,20.82,12.8186,3.13744,5.19,38.32,5.57,28.01,60,75.0,1.5,Plato,All Grain,0.75,20.0,American Pale Ale,9.6
32,32,22.71,1.046,1.016,4.05,35.2,31.95,26.5,75,60.0,1.5,Specific Gravity,All Grain,0.35,20.0,American Stout,1.036
33,33,41.64,1.058,1.014,5.81,28.86,3.59,53.0,90,75.0,,Specific Gravity,All Grain,,,Witbier,1.041
34,34,7.57,1.056,1.014,5.53,27.7,13.75,12.3,60,76.0,1.33,Specific Gravity,All Grain,0.35,,American Amber Ale,1.034
35,35,18.93,1.074,1.021,6.99,76.13,8.34,18.93,60,35.0,,Specific Gravity,extract,0.75,21.11,American IPA,1.074
36,36,27.0,1.048,1.006,5.46,34.68,4.04,33.0,60,35.0,3.0,Specific Gravity,All Grain,1.25,17.0,Saison,1.039
37,37,500.0,1.082,1.013,9.03,28.96,13.92,600.0,60,75.0,3.0,Specific Gravity,All Grain,1.0,19.0,Saison,1.054
38,38,21.0,1.062,1.011,6.71,23.4,6.02,30.0,60,75.0,3.1,Specific Gravity,All Grain,0.75,16.0,Saison,1.043
39,39,13.75,1.074,1.02,7.01,51.77,4.81,27.0,75,60.0,2.5,Specific Gravity,All Grain,0.35,20.0,American Light Lager,1.038
40,40,24.0,1.06,1.012,6.49,57.89,9.88,28.0,60,85.0,3.5,Specific Gravity,All Grain,0.75,18.0,American IPA,1.051
41,41,10.0,1.03,1.009,2.78,10.39,2.99,12.0,60,60.0,3.0,Specific Gravity,All Grain,,,American Light Lager,1.025
42,42,23.0,1.05,1.013,4.95,40.13,4.09,23.0,60,35.0,,Specific Gravity,extract,,,American Light Lager,1.05
43,43,39.75,1.055,1.014,5.46,0.0,7.89,22.71,60,75.0,,Specific Gravity,Partial Mash,,20.0,American IPA,1.097
44,44,25.0,1.047,1.011,4.7,35.37,10.91,32.5,60,70.0,,Specific Gravity,BIAB,,,American Pale Ale,1.036
45,45,21.77,1.052,1.011,5.31,18.6,5.29,30.28,60,70.0,1.5,Specific Gravity,All Grain,0.35,21.11,Witbier,1.037
46,46,20.82,1.053,1.013,5.31,35.77,3.93,28.39,60,70.0,,Specific Gravity,All Grain,,,Witbier,1.039
47,47,12.0,1.057,1.01,6.08,28.33,6.75,14.0,60,70.0,3.0,Specific Gravity,All Grain,0.35,16.0,American Pale Ale,1.0490000000000002
48,48,18.0,1.064,1.018,6.04,84.24,15.0,23.0,60,60.0,,Specific Gravity,BIAB,,,American Amber Ale,1.05
49,49,18.93,1.0759999999999998,1.019,7.48,82.99,7.28,28.39,60,70.0,,Specific Gravity,BIAB,0.35,21.11,American IPA,1.05
50,50,20.82,1.06,1.017,5.71,54.88,5.96,22.71,80,35.0,,Specific Gravity,extract,0.5,20.0,American IPA,1.055
