Id,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,BoilGravityMod
0,20.82,15.6465,4.23184,6.21,55.13,8.2,28.01,90,70.0,1.3,Plato,All Grain,1.0,25.56,1.057
1,20.82,1.057,1.013,5.71,51.99,6.35,28.39,60,70.0,,Specific Gravity,All Grain,1.25,,1.062
2,22.71,1.058,1.014,5.67,54.77,24.75,28.39,60,75.0,1.5,Specific Gravity,All Grain,,20.0,1.041
3,10.0,1.052,1.01,5.51,93.58,5.46,28.5,60,75.0,1.5,Specific Gravity,All Grain,0.5,17.0,1.04
4,20.0,12.0478,1.32023,5.7,33.72,3.58,30.0,60,75.0,3.0,Plato,All Grain,,27.0,1.045
5,18.93,1.067,1.011,7.29,45.88,8.06,24.61,60,75.0,1.5,Specific Gravity,All Grain,1.25,21.11,1.032
6,20.82,1.062,1.012,6.48,45.9,4.06,28.39,90,76.0,1.5,Specific Gravity,All Grain,,18.33,1.065
7,68.14,1.07,1.016,7.05,55.36,7.33,68.14,10,75.0,1.5,Specific Gravity,All Grain,,,1.037
8,18.93,1.069,1.017,6.76,53.69,6.99,26.5,60,69.0,1.5,Specific Gravity,All Grain,,20.0,1.032
9,25.0,1.0590000000000002,1.014,5.91,69.66,7.08,29.0,60,75.0,3.0,Specific Gravity,All Grain,,20.0,1.064
10,18.93,1.056,1.011,6.01,68.1,12.89,22.71,60,35.0,,Specific Gravity,extract,0.35,,1.042
11,18.93,1.056,1.017,5.1,29.55,14.69,24.61,60,75.0,1.8,Specific Gravity,All Grain,,,1.3408930163447252
12,3.79,1.047,1.012,4.62,35.52,22.58,6.62,60,65.0,,Specific Gravity,All Grain,,,1.056
13,20.82,1.074,1.024,6.53,39.17,38.0,26.5,60,65.0,1.5,Specific Gravity,All Grain,0.75,18.33,1.047
14,58.67,1.08,1.018,8.2,246.46,11.6,68.14,60,52.0,1.5,Specific Gravity,All Grain,1.25,,1.048
15,18.93,1.07,1.018,6.77,52.04,7.53,11.36,60,35.0,,Specific Gravity,extract,,19.44,1.05
16,18.93,1.0490000000000002,1.011,4.91,55.47,8.81,11.36,60,35.0,,Specific Gravity,extract,0.75,21.11,1.131
17,28.39,1.05,1.011,5.09,30.63,16.21,24.61,90,72.0,1.25,Specific Gravity,All Grain,0.75,,1.05
18,21.0,1.072,1.016,7.39,41.15,8.33,28.5,60,79.0,3.0,Specific Gravity,All Grain,,20.0,1.042
19,8.52,1.075,1.019,7.4,49.71,48.78,11.36,60,60.0,,Specific Gravity,BIAB,0.35,20.0,1.035
20,39.75,1.056,1.01,6.0,46.97,5.94,53.94,60,70.0,1.33,Specific Gravity,All Grain,0.5,20.0,1.046
21,10.0,1.048,1.008,5.18,0.0,12.12,11.0,60,70.0,3.0,Specific Gravity,All Grain,,19.0,1.089
22,24.0,1.068,1.012,7.36,23.4,13.35,28.5,60,75.0,2.5,Specific Gravity,All Grain,,20.0,1.063
23,160.0,1.067,1.005,8.15,0.0,1.28,11.0,60,75.0,,Specific Gravity,Partial Mash,,,1.004
24,10.0,1.04,1.008,4.18,48.95,7.47,11.5,60,50.0,,Specific Gravity,All Grain,,25.0,1.052
25,20.82,1.046,1.005,5.34,27.23,2.94,28.39,90,75.0,1.5,Specific Gravity,All Grain,0.75,26.67,1.055
26,22.71,1.064,1.014,6.53,76.85,7.54,28.39,60,70.0,1.1,Specific Gravity,All Grain,0.35,,1.068
27,83.28,1.031,1.009,2.81,51.49,4.48,90.85,60,35.0,1.5,Specific Gravity,All Grain,,,1.036
28,1135.62,11.4042,2.86183,4.55,44.52,8.63,1135.62,90,85.0,1.5,Plato,All Grain,,,1.039
29,23.0,1.058,1.015,5.63,13.65,3.93,28.5,60,72.0,,Specific Gravity,BIAB,,21.0,1.052
30,20.82,1.064,1.016,6.27,48.95,7.83,28.39,60,75.0,,Specific Gravity,All Grain,,,1.033
31,20.0,1.048,1.01,4.95,23.28,3.54,26.0,60,67.0,3.0,Specific Gravity,All Grain,,18.0,9.6
32,19.0,1.038,1.01,3.75,12.53,3.06,26.0,60,70.0,2.5,Specific Gravity,All Grain,,,1.036
33,22.71,1.07,1.016,6.99,67.84,6.96,30.28,75,70.0,1.25,Specific Gravity,All Grain,0.75,20.0,1.2353589385474861
34,20.82,1.063,1.015,6.31,59.02,6.31,26.5,60,76.0,1.25,Specific Gravity,All Grain,,18.33,1.034
35,22.71,1.04,1.008,4.16,18.54,3.52,28.01,60,75.0,,Specific Gravity,All Grain,,19.44,1.074
36,25.0,1.052,1.009,5.59,33.15,5.95,31.0,60,80.0,2.7,Specific Gravity,All Grain,0.75,16.5,1.039
37,10.0,1.058,1.017,5.35,33.67,9.45,15.0,60,70.0,3.0,Specific Gravity,All Grain,0.75,18.0,1.054
38,18.93,1.054,1.01,5.81,34.49,5.13,26.5,60,80.0,,Specific Gravity,BIAB,0.5,21.11,1.043
39,18.93,1.073,1.017,7.27,148.63,12.0,11.36,60,35.0,,Specific Gravity,extract,0.35,18.89,1.038
40,18.93,1.06,1.017,5.67,52.99,9.5,11.36,60,70.0,,Specific Gravity,Partial Mash,,16.67,1.051
41,20.82,1.023,1.005,2.33,22.39,2.96,28.39,60,35.0,1.5,Specific Gravity,All Grain,0.35,18.33,1.025
42,23.66,1.05,1.009,5.34,37.08,5.45,27.44,60,70.0,1.75,Specific Gravity,All Grain,0.75,17.78,1.05
43,17.0,1.034,1.006,3.64,31.99,3.68,23.0,60,45.0,3.0,Specific Gravity,All Grain,,26.0,1.097
44,39.75,1.053,1.013,5.21,26.78,15.99,28.39,60,73.0,1.25,Specific Gravity,All Grain,0.75,17.78,1.036
45,20.82,1.046,1.009,4.87,20.22,3.1,24.61,60,35.0,,Specific Gravity,extract,,22.22,1.037
46,9.0,1.058,1.014,5.81,76.19,50.0,15.0,90,60.0,,Specific Gravity,BIAB,,20.0,1.039
47,20.82,1.047,1.012,4.58,14.17,3.73,28.39,60,74.0,1.5,Specific Gravity,All Grain,,,1.0490000000000002
48,18.93,1.083,1.025,7.64,123.16,10.61,28.39,90,70.0,1.25,Specific Gravity,All Grain,,20.0,1.05
49,18.93,1.071,1.02,6.74,111.74,8.54,11.36,60,75.0,,Specific Gravity,Partial Mash,0.75,21.11,1.05
50,80.0,16.0807,6.0168300000000015,5.51,49.89,3.91,110.0,60,75.0,2.2,Plato,All Grain,,,1.055
51,20.82,1.055,1.012,5.64,23.65,31.66,15.14,60,75.0,,Specific Gravity,Partial Mash,,21.11,1.032
52,18.93,1.067,1.017,6.58,52.98,6.14,11.36,60,35.0,,Specific Gravity,extract,,,1.054
53,27.0,1.08,1.015,8.5,121.82,7.01,32.0,90,75.0,,Specific Gravity,BIAB,,16.0,1.055
54,18.0,1.058,1.011,6.12,36.7,8.06,22.0,60,65.0,,Specific Gravity,All Grain,,21.0,1.4894584221748401
55,22.71,16.6812,4.62046,6.59,40.45,6.89,28.39,60,70.0,1.5,Plato,All Grain,1.0,20.0,1.0490000000000002
56,22.71,1.082,1.02,8.11,231.99,7.95,30.28,90,75.0,1.5,Specific Gravity,All Grain,1.25,20.56,1.042
57,21.0,1.047,1.009,5.03,29.74,6.27,11.0,60,35.0,,Specific Gravity,extract,,,1.043
58,19.68,1.05,1.014,4.73,37.53,5.39,11.36,60,70.0,,Specific Gravity,Partial Mash,0.5,21.11,1.046
59,28.0,1.056,1.014,5.53,0.0,6.98,30.0,60,70.0,,Specific Gravity,BIAB,,,13.2
60,60.57,1.078,1.013,8.43,79.31,6.81,75.71,60,77.81,1.3,Specific Gravity,All Grain,,20.0,1.085
61,25.5,1.057,1.009,6.23,44.72,6.76,33.0,60,80.0,3.5,Specific Gravity,All Grain,,,1.047
62,15.14,1.061,1.012,6.44,66.49,7.04,22.33,60,48.0,1.5,Specific Gravity,All Grain,,20.0,1.025
63,18.93,1.065,1.015,6.56,102.7,9.12,15.14,60,35.0,,Specific Gravity,extract,,,1.072
