Id,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,Style,BoilGravityMod,PrimaryTempMod
0,22.71,1.071,1.021,6.51,81.14,6.43,28.39,90,78.0,1.2,Specific Gravity,All Grain,,American IPA,1.057,20.0
1,7.57,1.062,1.016,6.14,138.44,15.28,7.57,60,35.0,,Specific Gravity,extract,0.5,American IPA,1.062,20.0
2,12.0,1.051,1.012,5.17,27.57,14.54,14.0,60,65.0,,Specific Gravity,BIAB,0.35,Irish Red Ale,1.041,20.0
3,15.0,1.051,1.013,5.01,38.53,26.73,19.0,90,65.0,3.0,Specific Gravity,All Grain,,American Stout,1.04,19.538883333333334
4,21.77,1.061,1.013,6.25,43.2,4.08,23.66,15,35.0,,Specific Gravity,extract,0.75,American IPA,1.045,20.0
5,20.82,1.04,1.008,4.27,30.11,16.32,26.5,60,50.0,1.5,Specific Gravity,All Grain,,American Amber Ale,1.032,26.67
6,18.93,1.072,1.015,7.45,29.94,5.44,20.82,60,70.0,2.0,Specific Gravity,All Grain,0.35,Saison,1.065,26.67
7,21.0,1.05,1.009,5.41,111.28,5.78,28.5,60,65.0,5.0,Specific Gravity,All Grain,1.0,American Pale Ale,1.037,19.0
8,18.93,1.048,1.008,5.31,13.87,6.08,28.39,60,65.0,,Specific Gravity,BIAB,0.5,Saison,1.032,23.89
9,41.64,1.075,1.017,7.61,70.45,9.29,49.21,60,70.0,1.25,Specific Gravity,All Grain,0.75,American IPA,1.064,17.78
10,20.82,1.058,1.01,6.29,64.35,3.86,28.39,60,80.0,2.0,Specific Gravity,All Grain,0.35,American IPA,1.042,19.576690909090907
11,20.82,1.056,1.014,5.49,62.15,13.61,24.61,70,70.0,,Specific Gravity,All Grain,,American IPA,1.3408930163447252,19.576690909090907
12,26.0,1.074,1.016,7.58,75.77,5.94,34.0,60,70.0,3.6,Specific Gravity,All Grain,,American IPA,1.056,19.576690909090907
13,10.79,1.067,1.019,6.27,42.16,13.33,15.33,90,68.0,,Specific Gravity,All Grain,0.5,American IPA,1.047,18.33
14,58.67,1.0590000000000002,1.011,6.32,43.17,6.48,71.92,65,62.0,1.5,Specific Gravity,All Grain,1.0,Saison,1.048,23.89
15,20.82,1.069,1.014,7.2,104.21,8.78,28.39,60,60.0,1.5,Specific Gravity,All Grain,1.25,American IPA,1.05,19.44
16,18.93,1.065,1.016,6.43,96.95,8.01,9.46,60,35.0,,Specific Gravity,extract,,American IPA,1.131,19.576690909090907
17,20.82,1.0590000000000002,1.017,5.57,54.45,7.2,24.61,60,35.0,,Specific Gravity,extract,1.0,American Pale Ale,1.05,21.11
18,23.0,1.063,1.016,6.21,69.85,8.48,10.0,60,70.0,,Specific Gravity,extract,1.0,American IPA,1.042,19.0
19,9.46,1.053,1.009,5.8,24.82,13.05,14.2,60,70.0,1.5,Specific Gravity,All Grain,,American Light Lager,1.035,18.723183391003463
20,22.71,1.058,1.01,6.32,31.1,7.05,28.39,65,63.0,1.33,Specific Gravity,All Grain,0.75,American Pale Ale,1.046,17.78
21,18.93,1.053,1.013,5.23,62.78,13.8,11.36,60,35.0,,Specific Gravity,extract,,American IPA,1.089,19.576690909090907
22,14.0,1.0490000000000002,1.011,4.97,0.0,7.79,11.0,60,50.0,,Specific Gravity,Partial Mash,,American Light Lager,1.063,18.723183391003463
