iter	Passed	Remaining
0	15	15860
1	23	11809
2	31	10470
3	39	9908
4	46	9316
5	54	8960
6	62	8807
7	70	8722
8	77	8523
9	85	8427
10	92	8312
11	100	8260
12	107	8178
13	114	8098
14	121	8006
15	131	8058
16	138	7990
17	145	7913
18	152	7868
19	160	7863
20	169	7893
21	177	7903
22	185	7860
23	194	7908
24	202	7911
25	212	7957
26	221	7967
27	230	8000
28	239	8007
29	249	8067
30	257	8064
31	267	8084
32	275	8074
33	285	8101
34	296	8185
35	305	8173
36	314	8184
37	322	8169
38	331	8157
39	338	8134
40	348	8151
41	358	8186
42	366	8162
43	374	8144
44	384	8153
45	392	8139
46	399	8105
47	407	8075
48	415	8057
49	422	8034
50	430	8016
51	437	7984
52	448	8007
53	458	8034
54	467	8032
55	476	8036
56	487	8058
57	495	8051
58	503	8034
59	514	8054
60	521	8028
61	531	8042
62	539	8029
63	549	8031
64	557	8023
65	565	8002
66	572	7969
67	581	7963
68	588	7935
69	595	7907
70	601	7869
71	609	7858
72	616	7833
73	624	7818
74	633	7810
75	643	7821
76	651	7806
77	660	7805
78	668	7792
79	677	7789
80	685	7780
81	693	7760
82	701	7752
83	711	7759
84	719	7743
85	728	7738
86	736	7726
87	744	7720
88	753	7711
89	762	7708
90	771	7704
91	777	7675
92	785	7660
93	794	7653
94	802	7643
95	809	7624
96	819	7633
97	828	7627
98	837	7617
99	845	7606
100	852	7591
101	860	7576
102	867	7557
103	875	7539
104	883	7530
105	892	7524
106	902	7528
107	910	7515
108	920	7524
109	928	7514
110	936	7502
111	947	7509
112	955	7500
113	966	7509
114	976	7515
115	985	7508
116	994	7503
117	1002	7490
118	1011	7486
119	1019	7474
120	1027	7463
121	1036	7459
122	1047	7465
123	1054	7451
124	1063	7441
125	1073	7443
126	1082	7439
127	1090	7431
128	1100	7431
129	1110	7434
130	1120	7430
131	1128	7420
132	1136	7407
133	1143	7392
134	1150	7373
135	1159	7367
136	1167	7353
137	1175	7344
138	1184	7337
139	1191	7319
140	1198	7299
141	1206	7287
142	1215	7281
143	1221	7263
144	1231	7258
145	1239	7248
146	1246	7234
147	1253	7214
148	1261	7207
149	1270	7199
150	1279	7192
151	1287	7181
152	1296	7176
153	1304	7166
154	1312	7157
155	1320	7142
156	1327	7129
157	1335	7115
158	1343	7107
159	1349	7087
160	1357	7075
161	1365	7061
162	1373	7051
163	1381	7044
164	1390	7036
165	1400	7035
166	1410	7034
167	1419	7032
168	1428	7023
169	1436	7013
170	1445	7008
171	1454	7000
172	1461	6988
173	1469	6977
174	1478	6969
175	1486	6957
176	1496	6956
177	1506	6959
178	1514	6948
179	1522	6936
180	1530	6924
181	1539	6920
182	1547	6910
183	1556	6904
184	1566	6899
185	1574	6889
186	1582	6880
187	1593	6882
188	1602	6876
189	1611	6870
190	1620	6861
191	1628	6851
192	1637	6845
193	1647	6844
194	1655	6835
195	1663	6825
196	1671	6813
197	1681	6810
198	1690	6804
199	1700	6802
200	1710	6799
201	1721	6799
202	1730	6795
203	1740	6792
204	1749	6785
205	1757	6775
206	1767	6770
207	1775	6760
208	1786	6759
209	1796	6758
210	1804	6748
211	1813	6738
212	1821	6728
213	1829	6719
214	1838	6710
215	1845	6699
216	1855	6693
217	1863	6684
218	1871	6674
219	1880	6665
220	1888	6657
221	1897	6649
222	1903	6632
223	1910	6617
224	1918	6606
225	1926	6597
226	1934	6586
227	1941	6574
228	1948	6559
229	1955	6545
230	1962	6531
231	1970	6522
232	1976	6506
233	1981	6484
234	1986	6467
235	1992	6449
236	1998	6435
237	2007	6427
238	2014	6413
239	2022	6405
240	2030	6394
241	2040	6389
242	2047	6377
243	2055	6369
244	2062	6356
245	2071	6349
246	2079	6340
247	2089	6335
248	2098	6329
249	2105	6317
250	2114	6309
251	2122	6299
252	2130	6290
253	2140	6285
254	2148	6276
255	2155	6265
256	2164	6258
257	2172	6248
258	2180	6239
259	2188	6229
260	2194	6213
261	2200	6199
262	2209	6190
263	2218	6185
264	2226	6174
265	2234	6164
266	2240	6151
267	2249	6144
268	2257	6135
269	2266	6127
270	2274	6119
271	2283	6110
272	2291	6101
273	2299	6091
274	2307	6083
275	2315	6074
276	2323	6065
277	2332	6057
278	2339	6046
279	2347	6037
280	2355	6028
281	2364	6019
282	2374	6017
283	2383	6008
284	2391	6000
285	2400	5993
286	2407	5981
287	2416	5975
288	2423	5962
289	2432	5954
290	2439	5943
291	2445	5930
292	2452	5917
293	2460	5908
294	2468	5899
295	2477	5891
296	2485	5882
297	2493	5873
298	2500	5863
299	2508	5853
300	2515	5841
301	2524	5834
302	2531	5822
303	2538	5812
304	2546	5802
305	2553	5790
306	2560	5780
307	2567	5768
308	2575	5759
309	2582	5747
310	2589	5736
311	2596	5725
312	2602	5713
313	2611	5705
314	2618	5693
315	2626	5684
316	2632	5672
317	2640	5663
318	2647	5651
319	2655	5642
320	2661	5630
321	2668	5618
322	2676	5608
323	2682	5597
324	2690	5588
325	2697	5577
326	2706	5569
327	2712	5558
328	2719	5547
329	2726	5536
330	2734	5526
331	2740	5514
332	2747	5502
333	2754	5492
334	2761	5481
335	2768	5470
336	2775	5459
337	2781	5448
338	2790	5440
339	2797	5429
340	2806	5423
341	2813	5412
342	2821	5404
343	2828	5393
344	2835	5383
345	2842	5372
346	2849	5362
347	2856	5352
348	2863	5341
349	2871	5332
350	2878	5321
351	2886	5314
352	2893	5303
353	2901	5294
354	2908	5283
355	2915	5273
356	2922	5263
357	2929	5253
358	2938	5245
359	2944	5235
360	2952	5226
361	2959	5216
362	2967	5207
363	2974	5196
364	2981	5186
365	2988	5176
366	2994	5165
367	3002	5156
368	3009	5146
369	3017	5137
370	3024	5126
371	3032	5119
372	3039	5108
373	3046	5099
374	3053	5088
375	3060	5078
376	3067	5068
377	3073	5058
378	3081	5049
379	3088	5038
380	3095	5029
381	3102	5019
382	3110	5010
383	3116	4999
384	3123	4990
385	3131	4980
386	3138	4970
387	3144	4960
388	3151	4950
389	3158	4940
390	3165	4930
391	3172	4920
392	3179	4911
393	3185	4899
394	3192	4889
395	3198	4878
396	3205	4869
397	3213	4860
398	3220	4850
399	3229	4843
400	3235	4833
401	3243	4825
402	3250	4815
403	3256	4804
404	3261	4792
405	3266	4778
406	3273	4768
407	3280	4759
408	3286	4749
409	3294	4741
410	3301	4731
411	3307	4721
412	3314	4711
413	3322	4703
414	3329	4692
415	3335	4682
416	3343	4674
417	3349	4664
418	3357	4654
419	3363	4645
420	3370	4635
421	3377	4626
422	3384	4616
423	3392	4608
424	3401	4601
425	3409	4593
426	3417	4585
427	3424	4576
428	3430	4566
429	3438	4557
430	3444	4547
431	3452	4539
432	3458	4529
433	3466	4520
434	3473	4511
435	3479	4501
436	3488	4494
437	3494	4484
438	3501	4474
439	3509	4466
440	3516	4457
441	3523	4448
442	3530	4439
443	3538	4431
444	3545	4422
445	3554	4414
446	3560	4405
447	3569	4397
448	3575	4388
449	3582	4378
450	3590	4370
451	3597	4361
452	3605	4353
453	3611	4343
454	3618	4334
455	3625	4325
456	3632	4316
457	3640	4308
458	3647	4299
459	3654	4290
460	3661	4281
461	3668	4272
462	3675	4262
